K,party_short,gini
20,MoDem,0.0483251822121604
20,LREM,0.0483420882796956
20,LR,0.086929176864379
20,PS,0.0654062237896272
20,PCF,0.117204869403022
20,RN,0.214749455357323
20,Agir,0.0974958864538418
20,FI,0.104686630765848
20,DVG,0.229130613679298
20,UDI,0.0849956298244886
25,MoDem,0.0661916935139925
25,LREM,0.0617989642847726
25,LR,0.0981087464072026
25,PS,0.0692762267966205
25,PCF,0.130583898363784
25,RN,0.213971052063038
25,Agir,0.105356365917753
25,FI,0.0983823379857713
25,DVG,0.242612284773485
25,UDI,0.0803588002472782
30,MoDem,0.0739269710990911
30,LREM,0.0681240485406431
30,LR,0.102906949928577
30,PS,0.0762197313050761
30,PCF,0.142527126851348
30,RN,0.212720754418084
30,Agir,0.121995254713486
30,FI,0.102924823979398
30,DVG,0.266463925387775
30,UDI,0.0846070187023431
35,MoDem,0.071760884459784
35,LREM,0.0659109166033678
35,LR,0.113600061404203
35,PS,0.0623364108893896
35,PCF,0.152615748879978
35,RN,0.211294927228494
35,Agir,0.138106362721765
35,FI,0.124540493247241
35,DVG,0.243498592109403
35,UDI,0.0918591091441107
40,MoDem,0.0680785008584532
40,LREM,0.0600024576780208
40,LR,0.106605054083532
40,PS,0.0821186307001101
40,PCF,0.145079548485729
40,RN,0.213546803310739
40,Agir,0.107346364830591
40,FI,0.099331119947001
40,DVG,0.267788416018208
40,UDI,0.0962652860990202
45,MoDem,0.0870128803798958
45,LREM,0.077871803557348
45,LR,0.111949041526927
45,PS,0.0818013196033424
45,PCF,0.153173913482209
45,RN,0.212387435896215
45,Agir,0.125561338487373
45,FI,0.136019640355155
45,DVG,0.270004787375199
45,UDI,0.0892031083503034
50,MoDem,0.092045616891919
50,LREM,0.0798817139865285
50,LR,0.121199972489076
50,PS,0.108757588654567
50,PCF,0.138536250757846
50,RN,0.221818544748586
50,Agir,0.130216006277268
50,FI,0.13353425776801
50,DVG,0.282693962686351
50,UDI,0.111305130471954
55,MoDem,0.0950088942819674
55,LREM,0.079613713415283
55,LR,0.132568440705628
55,PS,0.0954451420725141
55,PCF,0.170011098035592
55,RN,0.216901171054262
55,Agir,0.135510849766265
55,FI,0.15323765773229
55,DVG,0.258275180207414
55,UDI,0.130945306986973
60,MoDem,0.103405406350073
60,LREM,0.0873854871586557
60,LR,0.127676488483318
60,PS,0.11217189741673
60,PCF,0.17492799893531
60,RN,0.208932968905686
60,Agir,0.129716930978829
60,FI,0.156168350593894
60,DVG,0.293374604284779
60,UDI,0.107124883727394
65,MoDem,0.0879903174519761
65,LREM,0.0749300312509973
65,LR,0.116825575408102
65,PS,0.101485725495399
65,PCF,0.185558763440088
65,RN,0.213856883060908
65,Agir,0.156431069833722
65,FI,0.1498224747838
65,DVG,0.284012846140838
65,UDI,0.116722922721454
70,MoDem,0.0909848521016832
70,LREM,0.078988495767073
70,LR,0.130629232101978
70,PS,0.0996290896958041
70,PCF,0.169303802451501
70,RN,0.21611635015451
70,Agir,0.143395792491016
70,FI,0.160530997284855
70,DVG,0.270635762154162
70,UDI,0.122287784032222
75,MoDem,0.102751724074706
75,LREM,0.08198267236944
75,LR,0.120835923517259
75,PS,0.112382350572307
75,PCF,0.20353889904709
75,RN,0.217061239979858
75,Agir,0.14951376597716
75,FI,0.182182428048514
75,DVG,0.29351079069899
75,UDI,0.113758680936116
